Wavelength_nm,Fit_0.9314_WL_1450.0nm_BW_5nm,Fit_0.8906_WL_1460.0nm_BW_5nm,Fit_0.8826_WL_1470.0nm_BW_5nm,Fit_0.8482_WL_1480.0nm_BW_20nm,Fit_0.8893_WL_1490.0nm_BW_10nm,Fit_0.9327_WL_1500.0nm_BW_5nm,Fit_0.9066_WL_1510.0nm_BW_10nm,Fit_0.8078_WL_1520.0nm_BW_10nm,Fit_0.9432_WL_1530.0nm_BW_5nm,Fit_0.8368_WL_1540.0nm_BW_10nm,Fit_0.9001_WL_1540.0nm_BW_10nm,Fit_0.7750_WL_1550.0nm_BW_20nm
1425.6,0.0038018512834162395,0.020283362588229988,3.213603903076604e-05,0.0006227351637799243,0.03700984992576372,7.260919415190078e-05,0.004337526327422266,0.013901409842677112,0.0008194253298514177,0.0017588624610675497,0.003036816712819694,0.011404972092701835
1426.0,0.014669843465386218,0.01928307295234835,7.070319921518032e-06,0.00029371053678271976,0.037823509334580646,2.638228827597758e-07,0.008954769131104427,0.036313718225062484,0.004102768687125463,0.0014870856575262203,0.0018823982950596208,0.010992716807781133
1426.4,0.011515299589336603,0.020039693070454615,1.9181546858517828e-05,0.0016839072198998567,0.03876917579963882,7.98428470652581e-05,0.0026920930521099687,0.061997894935459937,0.0015004809655484424,0.0015128869992295504,0.0021375577527703517,0.01106363492707281
1426.7999999999997,0.0018420723195058774,0.021301681191562564,1.1885441041101966e-05,0.004696610927332904,0.039531455390141,0.00010878653186494919,0.00361632047739591,0.00670923362840809,0.000778072712238758,0.0018368893816988192,0.0031552091123413675,0.011337565385172284
1427.1999999999998,0.009994805451490993,0.020396905231287267,6.670230670473591e-08,0.009069553229669876,0.0404907124537737,8.872389307937606e-06,0.009316432615107723,0.052834251466822864,0.004155882097383209,0.0023377642349639315,0.002134798863009974,0.010890311685597218
1427.6,0.01814324738669066,0.020185108065155066,5.4133079310262584e-06,0.01441174139279396,0.04148997576777893,5.382968650516922e-05,0.0035477587316768795,0.04995881415937297,0.0016163586286152176,0.0028214394108772405,0.0019500544949003814,0.010986704343088004
1428.0,0.007444162300134056,0.021963091773307637,1.2444906763595517e-06,0.020251784297407118,0.0423637026404775,0.00013801806929431655,0.0028899906532634917,0.005539848705285577,0.0007158546647877848,0.0030989262142943302,0.0031815021255805305,0.01126907461281421
1428.3999999999999,0.0038458958296035354,0.02191253846614189,6.589137882988518e-06,0.026087918311203183,0.043470486999126194,3.9141592872934676e-05,0.009478142391496042,0.06484288075370967,0.004199685367620656,0.0030619527548760117,0.0024502068656519324,0.010787048096100335
1428.8,0.018040276536898162,0.02073487949742236,7.843152736622608e-06,0.031432480379552014,0.04453253844618351,2.3859117073310722e-05,0.004604005514550107,0.036947338356257894,0.0017663409504801125,0.0027277124388764957,0.0018154760145742959,0.010905280821476696
1429.2,0.017714166235529218,0.022186543102830966,2.7522889168701437e-06,0.03584739349384903,0.04555974170559682,0.00014907349869190673,0.0022261603523557128,0.01038720593375489,0.0006351227705053646,0.0022347908890594896,0.0031043791968620536,0.01119994714754394
1429.6,0.0037891679290558526,0.023464346513879717,2.8668674306223608e-05,0.0389706880684371,0.046809952109361244,8.932099312860689e-05,0.009389975035143895,0.070217404922038,0.0042291213711982785,0.0017895725955712509,0.002797160282510256,0.010683106324393956
1429.9999999999998,0.011318592498508147,0.022013298207049933,3.012245438401877e-05,0.040536224075575625,0.047960755620210134,3.9300128584596224e-06,0.005830251326096874,0.025027415606900427,0.0019528345665336523,0.0015827018887561034,0.0017713387743926725,0.01081856607577254
1430.3999999999999,0.024792159407077262,0.02223903296702082,1.970405899688441e-05,0.040389366198129294,0.04918066122611408,0.000134914663561228,0.001708377941692398,0.020172706065215696,0.0005396622618146274,0.001710102966834442,0.002928217828596566,0.011130570839672851
1430.8,0.013152247967869169,0.024575597061194252,6.873607853120679e-05,0.03850059889565751,0.050569930619398205,0.00014883962492175503,0.009014263758774859,0.0692622906414157,0.004237841306585312,0.0021327873452931384,0.0031320694464099966,0.010578767885045585
1431.2,0.004865420093617902,0.024010308797408855,7.643285196929422e-05,0.034977309111629065,0.051854357604759344,9.21923995137239e-06,0.007168196060572559,0.01550831792879716,0.002177866993716477,0.0026923129171803452,0.0018475616466976565,0.010725728730364242
1431.6,0.023140481211180956,0.02270406493675308,5.6312335530484634e-05,0.030071628039394907,0.05329778843839349,9.758609241049596e-05,0.0014304858887420448,0.03283802043968948,0.00043501992691871017,0.003174114031773868,0.0026766161699192962,0.011061235368320592
1432.0,0.02662624924818372,0.024985210555263437,0.00012980191784615918,0.024179866809643884,0.054831215529463545,0.00019990914092063336,0.008335021620615089,0.06364102313434322,0.004218340927828493,0.003392310869615254,0.0034046302514175995,0.010474458192735498
1432.4,0.00749278829664806,0.026249522700561755,0.00015155915023692425,0.017827542004532345,0.05631066176200047,4.9551850868417486e-05,0.008530518103974507,0.009152343086228181,0.0024425751615916626,0.0032634663031787,0.002058304700267846,0.010625905338460775
1432.8,0.014619564806789297,0.024174962442346015,0.00011788070907531928,0.011634371516328805,0.0579976950921452,5.067343592476764e-05,0.0014867099694607065,0.04583932616834799,0.0003288391076577733,0.0028416846649820145,0.0023928397257001375,0.010992086258931345
1433.1999999999998,0.03495217824709881,0.02496219306856572,0.0002156975987186723,0.006256914293587174,0.05970197745909451,0.00022324539053525613,0.007368035095382591,0.05529514963020786,0.004162228696594921,0.002300372240148212,0.0035664351731755574,0.01037078708317169
1433.6,0.02151224628898988,0.02797977247560986,0.0002610084692578122,0.002312791276752475,0.061446463883744466,0.00012292625805183604,0.009803654423384486,0.006306055587740142,0.0027465722424061733,0.0018650480349562705,0.002394800092907056,0.010518213091353989
