Lambda,DC,w,N,w_c,H,alpha_param,beta,S,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.451057408188534e-07,0.2654351628334026,4.151803030494373e-07,347,1.7940487351259644e-07,13,1.2395283768232592,2.710624399324025,5,0.45775114874069495,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.6906971539717373e-07,0.3154621310942649,4.342467129281347e-07,15,3.223115726053606e-07,10,1.523908858464822,-1.1991391748836415,5,0.4941252415255263,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,5.386936200958913e-07,2,3.5023979045956114e-07,12,2.3309665325560425,-1.435526094080852,7,0.49878256062122733,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.6906971539717373e-07,0.3154621310942649,5.901097606589598e-07,379,3.0815277040323825e-07,11,1.7586188650095986,-2.3943432949440635,6,-0.054460483338992935,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.4923886389948084e-07,0.22545075514229254,4.342467129281347e-07,15,3.223115726053606e-07,10,2.3309665325560425,-1.435526094080852,7,0.49480478697399277,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.9251794870927473e-07,0.4229492830489855,5.246467278045155e-07,16,1.7940487351259644e-07,13,1.2395283768232592,1.828393828875985,0,0.4669548207792545,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.5366072721864864e-07,0.5506502793940351,5.537499188743198e-07,99,2.1200889974758282e-07,1,1.1405169271171194,2.710624399324025,5,0.3635953560859169,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.6906971539717373e-07,0.3154621310942649,4.342467129281347e-07,15,3.223115726053606e-07,10,2.3309665325560425,-1.435526094080852,7,0.4947372741309611,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.6906971539717373e-07,0.3154621310942649,4.342467129281347e-07,15,3.223115726053606e-07,10,2.223760947605975,-1.435526094080852,7,0.49461612960656626,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0255338959307202e-07,0.2816961909431672,5.386936200958913e-07,2,3.5023979045956114e-07,12,1.523908858464822,-1.1991391748836415,5,0.4986946821423312,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.2025867997563093e-07,0.10837644865503551,4.890145565301671e-07,2,3.912116452241337e-07,12,0.48481506983021017,-2.575585382805831,3,0.49981483758136247,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0246756033321368e-07,0.6449134001316972,5.123956513389803e-07,364,1.586965942374974e-07,14,1.3062779603430204,-2.2786279424905547,0,0.48913769174904154,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.2840318125731104e-07,0.332682315378053,5.937664312608071e-07,431,3.061275762859723e-07,14,2.7583814076279727,-2.863840674579373,0,0.4938203044827809,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
